1M306,6565013.978,537924.870,49.451,LP
1M307,6565002.437,537929.529,49.957,KU
1M308,6565017.157,537928.449,48.978,R
1M309,6565016.791,537924.759,48.830,R
1M310,6565015.883,537919.663,50.538,POS
1M311,6564986.510,537925.835,48.566,H
1M312,6564986.315,537924.641,48.624,H-
1M313,6564984.066,537926.222,48.629,H-
1M314,6564984.352,537928.812,48.626,H-
1M315,6565039.599,537919.022,46.918,AV
1M316,6565035.558,537917.295,47.341,
1M317,6565036.698,537924.389,46.932,
1M318,6565036.934,537926.612,46.958,
1M319,6565031.834,537926.575,46.940,
1M320,6565031.119,537922.353,47.007,
1M321,6565042.081,537926.437,46.810,KRAAV
1M322,6565044.024,537925.555,45.768,KRAAV
1M323,6565046.499,537924.513,46.872,KRAAV
1M324,6565046.846,537925.686,46.897,R
1M325,6565047.781,537930.143,46.774,KRAAV
1M326,6565048.346,537930.927,46.874,KRAAV
1M327,6565049.728,537930.901,46.853,KRAAV
1M328,6565050.636,537931.075,47.014,KRAAV
1M329,6565048.952,537936.072,46.732,KRAAV
1M330,6565048.540,537935.535,46.725,KRAAV
1M331,6565047.478,537935.189,46.646,KRAAV
1M332,6565044.964,537935.658,46.737,KRAAV
1M333,6565044.362,537935.179,46.575,KRAAV
1M334,6565043.569,537932.894,46.718,KRAAV
1M335,6565046.142,537932.092,45.736,KRAAV
1M336,6565053.490,537950.472,46.949,KRAAV
1M337,6565055.186,537949.754,45.730,KRAAV
1M338,6565057.164,537960.876,46.964,KRAAV
1M339,6565059.117,537960.274,45.772,KRAAV
1M340,6565061.455,537960.546,47.428,KRAAV
1M341,6565067.414,537964.029,46.744,
X6,6565025.817,537838.375,46.398,
X7,6564987.873,537848.400,46.725,
X71,6565029.996,537836.854,46.200,
X72,6564984.490,537849.962,46.684,
1 (8),6565012.203,537833.637,48.100,
6M001,6564936.554,537873.566,46.910,AV
6M002,6564936.516,537872.681,46.896,
6M003,6564935.472,537870.739,46.823,
6M004,6564934.534,537869.643,46.681,KRAAV
6M005,6564933.623,537866.818,45.350,KRAAV
6M006,6564948.726,537864.527,46.673,
6M007,6564950.549,537866.256,46.803,
6M008,6564963.763,537860.465,46.923,AV
6M009,6564959.052,537865.333,46.797,POS
6M010,6564957.027,537866.282,46.854,POS
6M011,6564954.850,537867.551,46.847,POS
6M012,6564953.096,537868.460,46.961,POS
6M013,6564964.634,537861.812,46.992,AV
6M014,6564970.486,537856.257,46.790,
6M015,6564969.569,537854.310,46.755,
6M016,6564967.628,537858.626,46.831,VPOST
6M017,6564973.560,537855.727,46.792,VPOST
6M018,6564970.201,537851.776,46.529,KRAAV
6M019,6564968.912,537850.147,45.530,KRAAV
6M020,6564970.834,537848.810,46.028,R
6M021,6564971.027,537849.784,46.106,R
6M022,6564970.350,537849.877,46.125,R
6M023,6564970.191,537849.177,46.064,R
6M024,6564982.718,537851.214,46.948,VPOST
6M025,6564987.546,537848.856,46.708,VPOST
6M026,6564987.741,537848.738,46.705,AV
6M027,6564990.019,537847.637,46.709,VPOST
6M028,6564994.339,537845.498,46.674,VPOST
6M029,6564987.163,537844.340,46.563,KRAAV
6M030,6564986.808,537842.533,46.239,R
6M031,6564987.389,537842.263,46.213,R
6M032,6564986.540,537840.097,46.133,R
6M033,6564985.931,537840.512,46.152,R
6M034,6564984.816,537840.297,46.178,KRAAV
6M035,6564985.691,537841.550,45.468,KRAAV
6M036,6564978.856,537843.346,46.037,KRAAV
6M037,6564993.077,537836.413,46.113,KRAAV
6M038,6564993.972,537837.819,45.386,KRAAV
6M039,6564994.522,537840.164,46.490,KRAAV
6M040,6564996.609,537840.748,46.571,
6M041,6564998.471,537842.806,46.644,
6M042,6565011.283,537837.551,46.709,AV
6M043,6565012.299,537840.244,46.579,AV
6M044,6565012.492,537843.316,46.535,AV
6M045,6565012.646,537839.066,46.653,KRAAV
6M046,6565014.521,537837.583,46.684,KRAAV
6M047,6565016.966,537836.316,46.565,KRAAV
6M048,6565022.105,537833.940,46.485,KRAAV
6M049,6565023.820,537835.806,45.638,KRAAV
6M050,6565025.038,537837.569,46.219,KRAAV
6M051,6565018.709,537829.207,46.540,KRAAV
6M052,6565017.095,537827.063,45.350,KRAAV
6M053,6565017.103,537825.049,46.186,KRAAV
6M054,6565010.878,537838.853,48.683,KU
6M055,6565025.463,537854.907,47.860,KU
6M056,6565029.731,537863.832,47.018,KU
6M057,6565026.908,537842.647,47.145,KU
6M058,6565030.176,537844.210,50.694,LP
6M059,6565029.348,537845.750,50.097,LP
6M060,6565030.559,537848.433,49.026,LP
6M061,6565028.404,537872.656,47.438,LP
6M062,6565021.162,537869.606,48.245,H
6M063,6565018.816,537864.330,48.223,H
6M064,6565013.590,537853.192,48.460,H
6M065,6565008.169,537841.480,48.262,H
6M066,6565001.099,537844.870,48.391,H
6M067,6564985.843,537858.111,48.313,H-
6M068,6564983.741,537853.585,48.809,H
6M069,6564977.025,537856.830,49.160,H
6M070,6564951.216,537872.573,49.507,H-
6M071,6564949.829,537869.635,49.180,H
6M072,6564935.828,537877.021,49.418,H
6M073,6564968.233,537845.627,47.354,KU
6M074,6564971.921,537844.056,47.419,KU
6M075,6564979.508,537839.200,47.558,KU
6M076,6564992.307,537833.750,47.775,M
6M077,6564995.279,537832.823,47.823,M
6M078,6564996.829,537831.730,47.847,M
6M079,6565005.409,537829.071,47.967,M
6M080,6565010.322,537824.785,47.126,KU
